Ryan,Lebeau,and,Tara,Vulakovich
Positive,Feedback:
run,mage,druid,rogue,healer,tank,boss
1,494,500,478,632,0,2008
2,455,579,535,666,0,2124
3,529,484,506,703,0,2030
4,461,495,560,709,0,1944
5,493,545,503,688,0,2134
