Ryan,Lebeau,and,Tara,Vulakovich
Negative,Feedback:
run,mage,druid,rogue,healer,tank,boss
1,295,337,267,738,628,0
2,248,321,271,763,696,0
3,269,297,439,794,703,0
4,231,294,293,765,680,0
5,278,319,307,552,655,0
